date,cnt
2018-06-01,122
2018-06-02,111
2018-06-03,125
2018-06-04,127
2018-06-05,132
2018-06-06,125
2018-06-07,130
2018-06-08,136
2018-06-09,125
2018-06-10,113
2018-06-11,114
2018-06-12,149
2018-06-13,169
2018-06-14,137
2018-06-15,149
2018-06-16,145
2018-06-17,142
2018-06-18,123
2018-06-19,146
2018-06-20,150
2018-06-21,158
2018-06-22,158
2018-06-23,130
2018-06-24,118
2018-06-25,133
2018-06-26,36
2018-06-27,135
2018-06-28,91
2018-06-29,109
2018-06-30,85
2018-07-01,18
2018-07-02,16
2018-07-03,129
2018-07-04,131
2018-07-05,122
2018-07-06,146
2018-07-07,110
2018-07-08,147
2018-07-09,28
2018-07-10,78
2018-07-11,113
2018-07-12,117
2018-07-13,137
2018-07-14,119
2018-07-15,115
2018-07-16,130
2018-07-17,125
2018-07-18,132
2018-07-19,118
2018-07-20,112
2018-07-21,100
2018-07-22,88
2018-07-23,92
2018-07-24,91
2018-07-25,105
2018-07-26,89
2018-07-27,78
2018-07-28,71
2018-07-29,65
2018-07-30,107
2018-07-31,97
2018-08-01,81
2018-08-02,68
2018-08-03,76
2018-08-04,75
2018-08-05,82
2018-08-06,78
2018-08-07,107
2018-08-08,98
2018-08-09,70
2018-08-10,98
2018-08-11,80
2018-08-12,78
2018-08-13,102
2018-08-14,113
2018-08-15,65
2018-08-16,85
2018-08-17,123
2018-08-18,97
2018-08-19,72
2018-08-20,123
2018-08-21,107
2018-08-22,120
2018-08-23,65
2018-08-24,42
2018-08-25,102
2018-08-26,67
2018-08-27,80
2018-08-28,23
2018-08-29,28
2018-08-30,86
2018-08-31,123
2018-09-01,103
2018-09-02,116
2018-09-03,61
2018-09-04,138
2018-09-05,128
2018-09-06,117
2018-09-07,154
2018-09-08,110
2018-09-09,111
2018-09-10,149
2018-09-11,162
2018-09-12,142
2018-09-13,144
2018-09-14,137
2018-09-15,104
2018-09-16,69
2018-09-17,161
2018-09-20,64
2018-09-21,100
2018-09-22,99
2018-09-23,67
2018-09-24,38
2018-09-25,64
2018-09-26,118
2018-09-27,147
2018-09-29,144
2018-10-01,142
2018-10-03,128
2018-10-05,12
2018-10-06,63
2018-10-07,122
2018-10-08,132
2018-10-10,104
2018-10-11,105
2018-10-12,119
2018-10-13,92
2018-10-14,87
2018-10-15,112
2018-10-16,114
2018-10-17,128
2018-10-18,131
2018-10-19,124
2018-10-20,86
2018-10-21,88
2018-10-22,116
2018-10-23,100
2018-10-24,123
2018-10-25,119
2018-10-26,53
2018-10-27,61
2018-10-28,38
2018-10-29,87
2018-10-30,84
2018-10-31,101
2018-11-01,94
2018-11-02,92
2018-11-04,101
2018-11-05,113
2018-11-07,80
2018-11-08,4
2018-11-10,64
2018-11-11,50
2018-11-12,93
2018-11-13,97
2018-11-14,80
2018-11-15,86
2018-11-16,88
2018-11-17,50
2018-11-18,60
2018-11-19,75
2018-11-20,84
2018-11-21,65
2018-11-22,80
2018-11-23,65
2018-11-24,18
2018-11-25,46
2018-11-26,80
2018-11-27,54
2018-11-28,72
2018-11-29,71
2018-11-30,65
2018-12-01,95
2018-12-02,93
2018-12-03,44
2018-12-04,111
2018-12-05,95
2018-12-06,107
2018-12-07,68
2018-12-08,33
2018-12-09,36
2018-12-10,84
2018-12-11,78
2018-12-12,79
2018-12-13,48
2018-12-14,61
2018-12-15,37
2018-12-16,37
2018-12-17,70
2018-12-18,98
2018-12-19,98
2018-12-20,103
2018-12-21,102
2018-12-22,54
2018-12-23,48
2018-12-24,54
2018-12-25,39
2018-12-26,64
2018-12-27,47
2018-12-28,42
2018-12-29,23
2018-12-30,31
2018-12-31,48
2019-01-01,15
2019-01-02,29
2019-01-03,30
2019-01-04,30
2019-01-05,28
2019-01-06,21
2019-01-07,36
2019-01-08,34
2019-01-09,35
2019-01-10,42
2019-01-11,47
2019-01-12,23
2019-01-13,21
2019-01-14,37
2019-01-15,30
2019-01-16,34
2019-01-17,37
2019-01-18,40
2019-01-19,21
2019-01-20,21
2019-01-21,37
2019-01-22,40
2019-01-23,44
2019-01-24,46
2019-01-25,40
2019-01-26,30
2019-01-27,16
2019-01-28,39
2019-01-29,49
2019-01-30,46
2019-01-31,36
2019-02-01,25
2019-02-02,17
2019-02-03,3
2019-02-04,10
2019-02-05,12
2019-02-06,14
2019-02-07,28
2019-02-08,25
2019-02-09,28
2019-02-10,22
2019-02-11,32
2019-02-12,31
2019-02-13,40
2019-02-14,39
2019-02-15,25
2019-02-16,30
2019-02-17,20
2019-02-18,40
2019-02-19,26
2019-02-20,38
2019-02-21,36
2019-02-22,40
2019-02-23,37
2019-02-24,32
2019-02-25,37
2019-02-26,38
2019-02-27,68
2019-02-28,42
2019-03-01,43
2019-03-02,39
2019-03-03,32
2019-03-04,60
2019-03-05,45
2019-03-06,52
2019-03-07,63
2019-03-08,45
2019-03-09,49
2019-03-10,56
2019-03-11,71
2019-03-12,43
2019-03-13,59
2019-03-14,66
2019-03-15,34
2019-03-16,43
2019-03-17,47
2019-03-18,64
2019-03-19,68
2019-03-20,22
2019-03-21,66
2019-03-22,58
2019-03-23,44
2019-03-24,41
2019-03-25,59
2019-03-26,144
2019-03-27,119
2019-03-28,141
2019-03-29,124
2019-03-30,40
2019-03-31,73
2019-04-01,133
2019-04-02,111
2019-04-03,131
2019-04-04,132
2019-04-05,124
2019-04-06,58
2019-04-07,138
2019-04-08,146
2019-04-09,61
2019-04-10,98
2019-04-11,147
2019-04-12,171
2019-04-13,169
2019-04-14,89
2019-04-15,157
2019-04-16,179
2019-04-17,166
2019-04-18,151
2019-04-19,164
2019-04-20,105
2019-04-21,139
2019-04-22,192
2019-04-23,190
2019-04-24,155
2019-04-25,48
2019-04-26,92
2019-04-27,120
2019-04-28,161
2019-04-29,182
2019-04-30,213
2019-05-01,176
2019-05-02,204
2019-05-03,175
2019-05-04,150
2019-05-05,147
2019-05-06,191
2019-05-07,182
2019-05-08,181
2019-05-09,229
2019-05-10,208
2019-05-11,188
2019-05-12,225
2019-05-13,198
2019-05-14,194
2019-05-15,202
2019-05-16,215
2019-05-17,195
2019-05-18,186
2019-05-19,45
2019-05-20,180
2019-05-21,189
2019-05-22,218
2019-05-23,228
2019-05-24,426
2019-05-25,330
2019-05-26,432
2019-05-27,184
2019-05-28,446
2019-05-29,496
2019-05-30,484
2019-05-31,432
2019-06-01,221
2019-06-02,234
2019-06-03,216
2019-06-04,223
2019-06-05,240
2019-06-06,106
2019-06-07,171
2019-06-08,222
2019-06-09,176
2019-06-10,160
2019-06-11,234
2019-06-12,235
2019-06-13,192
2019-06-14,219
2019-06-15,205
2019-06-16,221
2019-06-17,226
2019-06-18,126
2019-06-19,215
2019-06-20,227
2019-06-21,266
2019-06-22,234
2019-06-23,235
2019-06-24,251
2019-06-25,259
2019-06-26,258
2019-06-27,213
2019-06-28,205
2019-06-29,146
2019-06-30,208
2019-07-01,271
2019-07-02,246
2019-07-03,243
2019-07-04,253
2019-07-05,231
2019-07-06,194
2019-07-07,216
2019-07-08,234
2019-07-09,257
2019-07-10,118
2019-07-11,190
2019-07-12,252
2019-07-13,206
2019-07-14,189
2019-07-15,158
2019-07-16,228
2019-07-17,248
2019-07-18,235
2019-07-19,215
2019-07-20,142
2019-07-21,131
2019-07-22,242
2019-07-23,203
2019-07-24,173
2019-07-25,122
2019-07-26,96
2019-07-27,151
2019-07-28,95
2019-07-29,216
2019-07-30,197
2019-07-31,81
2019-08-01,164
2019-08-02,378
2019-08-03,332
2019-08-04,236
2019-08-05,190
2019-08-06,170
2019-08-07,140
2019-08-08,188
2019-08-09,186
2019-08-10,152
2019-08-11,126
2019-08-12,84
2019-08-13,187
2019-08-14,171
2019-08-15,129
2019-08-16,199
2019-08-17,192
2019-08-18,192
2019-08-19,201
2019-08-20,223
2019-08-21,169
2019-08-22,187
2019-08-23,223
2019-08-24,216
2019-08-25,238
2019-08-26,241
2019-08-27,204
2019-08-29,166
2019-08-30,239
2019-08-31,227
2019-09-01,271
2019-09-02,282
2019-09-03,255
2019-09-04,81
2019-09-05,119
2019-09-06,32
2019-09-08,150
2019-09-09,200
2019-09-10,62
2019-09-11,228
2019-09-12,81
2019-09-13,84
2019-09-14,116
2019-09-15,201
2019-09-16,286
2019-09-17,288
2019-09-18,286
2019-09-19,249
2019-09-20,273
2019-09-21,260
2019-09-22,127
2019-09-23,274
2019-09-24,232
2019-09-25,245
2019-09-26,257
2019-09-27,270
2019-09-28,260
2019-09-29,254
2019-09-30,223
2019-10-01,264
2019-10-02,74
2019-10-03,223
2019-10-04,275
2019-10-05,209
2019-10-06,210
2019-10-07,69
2019-10-08,246
2019-10-09,211
2019-10-10,269
2019-10-11,260
2019-10-12,223
2019-10-13,230
2019-10-14,239
2019-10-15,230
2019-10-16,243
2019-10-17,259
2019-10-18,232
2019-10-19,261
2019-10-20,229
2019-10-21,235
2019-10-22,242
2019-10-23,251
2019-10-24,253
2019-10-25,253
2019-10-26,202
2019-10-27,179
2019-10-28,198
2019-10-29,215
2019-10-30,243
2019-10-31,272
2019-11-01,273
2019-11-02,230
2019-11-03,217
2019-11-04,278
2019-11-05,260
2019-11-06,263
2019-11-07,239
2019-11-08,231
2019-11-09,213
2019-11-10,125
2019-11-11,219
2019-11-12,218
2019-11-13,119
2019-11-14,145
2019-11-15,66
2019-11-16,149
2019-11-17,33
2019-11-18,128
2019-11-19,133
2019-11-20,124
2019-11-21,159
2019-11-22,179
2019-11-23,153
2019-11-24,107
2019-11-25,157
2019-11-26,181
2019-11-27,171
2019-11-28,123
2019-11-29,148
2019-11-30,110
2019-12-01,30
2019-12-02,113
2019-12-03,98
2019-12-04,115
2019-12-05,98
2019-12-06,85
2019-12-07,64
2019-12-08,97
2019-12-09,114
2019-12-10,108
2019-12-11,124
2019-12-12,109
2019-12-13,126
2019-12-14,77
2019-12-15,87
2019-12-16,139
2019-12-17,93
2019-12-18,101
2019-12-19,120
2019-12-20,102
2019-12-21,49
2019-12-22,81
2019-12-23,78
2019-12-24,99
2019-12-25,60
2019-12-26,91
2019-12-27,81
2019-12-28,79
2019-12-29,61
2019-12-30,77
2019-12-31,39
2020-01-01,34
2020-01-02,90
2020-01-03,78
2020-01-04,63
2020-01-05,74
2020-01-06,43
2020-01-07,1
2020-01-08,52
2020-01-09,85
2020-01-10,85
2020-01-11,55
2020-01-12,52
2020-01-13,96
2020-01-14,76
2020-01-15,72
2020-01-16,81
2020-01-17,82
2020-01-18,65
2020-01-19,52
2020-01-20,87
2020-01-21,75
2020-01-22,83
2020-01-23,74
2020-01-24,45
2020-01-25,31
2020-01-26,43
2020-01-27,36
2020-01-28,81
2020-01-29,102
2020-01-30,97
2020-01-31,99
2020-02-01,77
2020-02-02,50
2020-02-03,77
2020-02-04,62
2020-02-05,64
2020-02-06,66
2020-02-07,82
2020-02-08,58
2020-02-09,41
2020-02-10,112
2020-02-11,89
2020-02-12,35
2020-02-13,102
2020-02-14,100
2020-02-15,72
2020-02-16,22
2020-02-17,42
2020-02-18,81
2020-02-19,90
2020-02-20,95
2020-02-21,73
2020-02-22,56
2020-02-23,63
2020-02-24,121
2020-02-25,62
2020-02-26,105
2020-02-27,113
2020-02-28,33
2020-02-29,108
2020-03-01,58
2020-03-02,85
2020-03-03,107
2020-03-04,81
2020-03-05,109
2020-03-06,123
2020-03-07,99
2020-03-08,135
2020-03-09,146
2020-03-10,42
2020-03-11,111
2020-03-12,117
2020-03-13,114
2020-03-14,87
2020-03-15,99
2020-03-16,139
2020-03-17,124
2020-03-18,135
2020-03-19,76
2020-03-20,132
2020-03-21,119
2020-03-22,125
2020-03-23,149
2020-03-24,163
2020-03-25,183
2020-03-26,109
2020-03-27,142
2020-03-28,123
2020-03-29,161
2020-03-30,151
2020-03-31,153
2020-04-01,148
2020-04-02,166
2020-04-03,181
2020-04-04,160
2020-04-05,164
2020-04-06,167
2020-04-07,202
2020-04-08,193
2020-04-09,168
2020-04-10,200
2020-04-11,173
2020-04-12,152
2020-04-13,173
2020-04-14,209
2020-04-15,208
2020-04-16,222
2020-04-17,114
2020-04-18,178
2020-04-19,85
2020-04-20,148
2020-04-21,170
2020-04-22,158
2020-04-23,190
2020-04-24,204
2020-04-25,183
2020-04-26,185
2020-04-27,201
2020-04-28,196
2020-04-29,221
2020-04-30,206
2020-05-01,234
2020-05-02,190
2020-05-03,171
2020-05-04,191
2020-05-05,152
2020-05-06,179
2020-05-07,206
2020-05-08,197
2020-05-09,16
2020-05-10,156
2020-05-11,199
2020-05-12,200
2020-05-13,228
2020-05-14,233
2020-05-15,53
2020-05-16,189
2020-05-17,213
2020-05-18,109
2020-05-19,144
2020-05-20,224
2020-05-21,226
2020-05-22,198
2020-05-23,242
2020-05-24,181
2020-05-25,209
2020-05-26,140
2020-05-27,200
2020-05-28,228
2020-05-29,205
2020-05-30,175
2020-05-31,156
2020-06-01,175
2020-06-02,177
2020-06-03,207
2020-06-04,195
2020-06-05,204
2020-06-06,182
2020-06-07,184
2020-06-08,230
2020-06-09,204
2020-06-10,145
2020-06-11,225
2020-06-12,195
2020-06-13,179
2020-06-14,189
2020-06-15,212
2020-06-16,211
2020-06-17,182
2020-06-18,239
2020-06-19,225
2020-06-20,200
2020-06-21,195
2020-06-22,158
2020-06-23,211
2020-06-24,43
2020-06-25,93
2020-06-26,191
2020-06-27,212
2020-06-28,194
2020-06-29,159
2020-06-30,91
